tinyxml 2.6.2-5
transmission-cli 2.92-5
transmission-gtk 2.92-5
tre 0.8.0-4
tslib 1.2-1
ttf-dejavu 2.37-1
ttf-liberation 2.00.1-6
ttf-ms-fonts 2.0-10
tumbler 0.1.31-2
tzdata 2016j-1
udisks2 2.1.8-1
unibilium 1.2.0-1
unrar 1:5.4.5-1
unzip 6.0-12
upower 0.99.4+12+g402640b-1
urlgrabber 3.10.1-2
usbmuxd 1.1.0-2
usbredir 0.7-1
usbutils 008-1
util-linux 2.28.2-2
v4l-utils 1.10.1-1
vamp-plugin-sdk 2.6-1
vcdimager 0.7.24-7
vde2 2.3.2-8
vertex-themes 20161009-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim 8.0.0086-1
vim-runtime 8.0.0086-1
virglrenderer 0.5.0-1
virt-install 1.4.0-2
virt-manager 1.4.0-2
vlc 2.2.4-5
volumeicon 0.5.1-1
vte 0.28.2-8
vte-common 0.46.1-1
vte3 0.46.1-1
w3m 0.5.3.git20161120-1
wavpack 5.0.0-1
wayland 1.12.0-1
wayland-protocols 1.7-1
webkit2gtk 2.14.2-2
webkitgtk2 2.4.11-3
webrtc-audio-processing 0.3-1
wget 1.18-3
which 2.21-2
wildmidi 0.4.0-1
wireless_tools 30.pre9-1
wireshark-cli 2.2.3-1
wireshark-common 2.2.3-1
wireshark-gtk 2.2.3-1
wpa_actiond 1.4-2
wpa_supplicant 1:2.6-4
wxgtk2.8 2.8.12.1-4
x11-ssh-askpass 1.2.4.1-5
x264 2:148.20160920-1
x265 2.1-2
xbitmaps 1.1.1-3
xcb-proto 1.12-2
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-1
xdg-user-dirs 0.15-4
xdg-utils 1.1.1-4
xdotool 3.20160805.1-1
xextproto 7.3.0-1
xf86-input-evdev 2.10.4-1
xf86-input-joystick 1.6.2-6
xf86-input-keyboard 1.9.0-1
xf86-input-libinput 0.22.0-1
xf86-input-mouse 1.9.2-1
xf86dgaproto 2.1-3
xf86vidmodeproto 2.3.1-3
xfburn 0.5.4-3
xfce4-clipman-plugin 1.4.1-1
xfce4-notifyd 0.3.4-1
xfce4-panel 4.12.1-1
xfce4-power-manager 1.6.0.41.g9daecb5-1
xfce4-screenshooter 1.8.2-3
xfce4-terminal 0.8.1-1
